id_subject,id_segment,id_error,idt,t,id_BayeSlope,signal,Amplitude,A_pre,A_pre_ratio,A_post,A_post_ratio,Width,W_pre,W_pre_ratio,W_post,W_post_ratio,RR_pre,RR_post,RR_ratio,consecutive_errors,Isolated,error_class_label
2,3,27,4059,1330.243424041184,53,266,222,186.0,1.1935483870967742,122.0,1.819672131147541,30,30.0,1.0,14.0,2.142857142857143,78.0,112.0,1.435897435897436,27,0,T-wave
2,3,28,4274,1331.1034262548262,55,100,89,122.0,0.7295081967213115,100.0,0.89,30,14.0,2.142857142857143,30.0,1.0,103.0,75.0,0.7281553398058253,1,0,T-wave
2,3,29,4349,1331.403427027027,56,90,100,89.0,1.1235955056179776,96.0,1.0416666666666667,30,30.0,1.0,18.0,1.6666666666666667,75.0,69.0,0.92,2,0,T-wave
2,3,30,4418,1331.6794277374515,57,56,96,100.0,0.96,95.0,1.0105263157894737,18,30.0,0.6,26.0,0.6923076923076923,69.0,83.0,1.2028985507246377,3,0,Noise
2,3,31,4501,1332.0114285920206,58,116,95,96.0,0.9895833333333334,71.0,1.3380281690140845,26,18.0,1.4444444444444444,30.0,0.8666666666666667,83.0,78.0,0.9397590361445783,4,0,T-wave
2,3,32,4579,1332.3234293951093,59,107,71,95.0,0.7473684210526316,171.0,0.4152046783625731,30,26.0,1.1538461538461537,30.0,1.0,78.0,73.0,0.9358974358974359,5,0,T-wave
2,3,33,4652,1332.6154301467182,60,177,171,71.0,2.408450704225352,119.0,1.4369747899159664,30,30.0,1.0,29.0,1.0344827586206897,73.0,73.0,1.0,6,0,T-wave
2,3,34,4725,1332.9074308983268,61,125,119,171.0,0.695906432748538,191.0,0.6230366492146597,29,30.0,0.9666666666666667,28.0,1.0357142857142858,73.0,76.0,1.0410958904109588,7,0,T-wave
2,3,35,4801,1333.2114316808236,62,223,191,119.0,1.6050420168067228,171.0,1.1169590643274854,28,29.0,0.9655172413793104,26.0,1.0769230769230769,76.0,75.0,0.9868421052631579,8,0,T-wave
2,3,36,4876,1333.5114324530243,63,186,171,191.0,0.8952879581151832,77.0,2.220779220779221,26,28.0,0.9285714285714286,30.0,0.8666666666666667,75.0,71.0,0.9466666666666667,9,0,T-wave
2,3,37,4947,1333.7954331840413,64,87,77,171.0,0.4502923976608187,,,30,26.0,1.1538461538461537,,,71.0,,,10,1,T-wave
2,4,0,43,1354.1794856525096,0,97,99,,,64.0,1.546875,30,,,24.0,1.25,,79.0,,1,1,T-wave
